Purchase_ID,Purchase Date,Material Name,Category,Grade/Spec,Supplier,Unit,Quantity,Wholesale Rate,Discount,GST,Total Amount,Payment Mode,Invoice No,Remarks
PMT2001,,SOMANY GVT VITRIFIED FLOOR TILES 800X800MM,Tiles,Ceramic,null,box,1513,4148.94,10%,5,5932092.18,Bank Transfer,INV-2023-7317,late delivery
PMT1745,?,  Greenply BWR Commercial Plywood 12mm  ,,N/A,CenturyPly Distributor,sheet,3177.77,4367.32,0,12%,INR 15543739.09,UPI,INV-2025-9986,Damaged packaging noted
PMT1153,04-22-2023,Biltech AAC Blocks 200mm,Masonry,N/A,AAC Block Traders,piece,570.29,Rs. 4291.65,2,18,2830271.74,Bank Transfer,INV-2023-2870,Site B allocation
PMT1543,2025-12-23,JSW Neosteel TMT Bars Fe 550D 20mm,Steel,Fe 550D,Kumar Steel Traders,kg,2708,,7.5%,28,26464569.09,Cash,INV-2024-4831,Urgent site delivery
PMT1328,2024.03.03,Dalmia Cemnt PPC Grade,Cement,OPC,Balaji Building Supplies,bag,1746.78,6350.75,15%,5,9900826.55,CHEQUE,INV-2024-5053,Bulk order discount applied
PMT1261,2025-06-30,Biltech AAC Blocks 200mm,Masonry,N/A,AAC Block Traders,NA,3032.83,2857.74,2,28%,10871934.48,cash,INV-2024-2364,Approved by site engineer
PMT2027,2024-06-26,Plastering Sand (P-Sand) 2.36MM,Aggregate,,GreenBuild Materials,ton,3658,Rs. 5501.77,null,12%,22540531.62,N.A.,INV-2024-7269,Damaged packaging noted
PMT2155,02 Sep 2024,SCHNEIDER MCB B-CURVE 32A,Electrical,N/A,Polycab Distributor,piece,3229.49,6464.52,2%,18,24142281.56,cash,INV-2023-8129,Site B allocation
PMT2119,26-03-2024,precision heavy-duty pvc conduit pipes 20mm,Electrical,N/A,Polycab Distributor,meter,3703.78,1730.27,,18,7183972.69,UPI,INV-2024-9019,
PMT1471,2023-12-25,gyproc by saint-gobain gypsum boards 12.5mm,Finishing,N/A,Birla Putty Depot,board,4845.7,9405.36,null,12,45940157.38,N.A.,INV-2025-4610,late delivery
PMT2162,27-09-2024,Asian Paints Royale Luxury Interior Emulsion,Paint,,asian paints dealer,-,3444.01,2488.73,15,12%,8159792.88,cash,INV-2024-8876,late delivery
PMT1125,11-03-2023,Precision Heavy-Duty PVC Conduit Pipes 20mm,Electrical,,Legrand Authorised Dealer,meter,2659.49,26.38,-,28%,80821.26,,INV-2025-2600,
PMT1872,10-04-2024,Finolex PVC Conduit Pipes 25mm,Electrical,N/A,Polycab Distributor,meter,588,8174.95,7.5,12%,4979917.94,,INV-2024-3384,
PMT2196,21/04/2024,ULTRATECH CEMENT OPC 53 GRADE,Cement,OPC,Ambuja Direct Depot,bag,2761,5370.71,0,28%,18980518.8,N.A.,INV-2024-6801,Site B allocation
PMT2136,13 Jan 2025,Supreme CPVC Pipes SDR 13.5 20mm,Plumbing,N/A,N/A,METER,4276,2588.24,12.5,-,10168094.96,NEFT,INV-2023-7069,Approved by site engineer
PMT2221,29 Dec 2023,  Birla White WallCare Putty 1.5mm  ,Finishing,N/A,jk wall solutions,bag,318.53,67.91,0%,18%,25525.02,NEFT,INV-2025-8659,Urgent site delivery
PMT1042,2025-07-08,Havells FR Electrical Wires 1.0 sq mm,Electrical,N/A,Polycab Distributor,meter,3393.14,Rs. 3986.0,5%,18,15161587.82,RTGS,INV-2023-3626,Bulk order discount applied
PMT1306,08-02-2025,Tata Wiron Annealed Binding Wire 18 Gauge,Steel,,SRMB Steel Point,kg,3472.2,?,10%,18,33682589.43,,INV-2024-1877,Bulk order discount applied
PMT1001,08-23-2024,ASHIRVAD UPVC DRAINAGE PIPES SCHEDULE 40 110MM,Plumbing,Standard,Astral Plumbing Store,meter,1143,6044.47,5,5,6891557.14,cash,INV-2024-4598,Damaged packaging noted
PMT2344,01-22-2025,Tata Wiron Annealed Binding Wire 18 Gauge,Steel,Fe 500,SRMB Steel Point,kg,4355,"2,308.20",2%,5%,10343725.12,,INV-2025-3825,duplicate entry?
PMT1774,07-07-2024,Nerolac Beauty Acrylic Interior Paint,Paint,,Nerolac Colour Shop,liter,2061.91,907.96,5%,18%,NIL,UPI,INV-2023-6040,Urgent site delivery
PMT2309,2023-01-29,prince swr pvc pipes type b 110mm,Plumbing,,Ashirvad Sales Corp,meter,2436,6033.59,5%,5%,14661080.68,CHEQUE,INV-2025-3843,
PMT2008,14 Apr 2024,CenturyDoors Solid Core Flush Doors 35mm,Wood,,CenturyPly Distributor,piece,157,2488.83,12.5,12,382931.38,N.A.,INV-2023-3292,Urgent site delivery
PMT2217,12-09-2025,Coarse Aggregate 10mm Blue Metal,Aggregate,,Local Quarry Suppliers,ton,1450,1514.23,,12,2336154.04,cash,INV-2023-3802,Urgent site delivery
PMT1080,22/03/2025,natural italian marble slabs 20mm,Stone,N/A,Marble Palace Traders,NIL,10.43,Rs. 3273.8,12.5%,5%,31371.39,Cheque,INV-2025-3340,
PMT1020,04-04-2023,LEGRAND MCB B-CURVE 16A,Electrical,N/A,Havells Electric Store,piece,517,"2,409.76",12.5%,5%,1144620.94,NEFT,INV-2023-7818,Damaged packaging noted
PMT1023,04-10-2025,Supreme SWR PVC Pipes Type A 75mm,Plumbing,Standard,Finolex Pipes Distributor,meter,1652.37,4329.02,10,5,6759719.92,UPI,INV-2025-9167,Damaged packaging noted
PMT1472,2025-12-01,natural italian marble slabs 20mm,Stone,Standard,Natural Stone Exporters,sqft,4140.93,6608.43,0%,12%,30648851.56,cash,INV-2024-7667,
PMT1156,04/09/2024,ACC CEMENT OPC 43 GRADE,Cement,OPC 43,UltraTech Dealer Hub,bag,329.3,"2,005.38",15,18%,662352.75,,INV-2024-3125,duplicate entry?
PMT1845,02 Apr 2025,Kajaria Double Charged Vitrified Tiles 600x600mm,Tiles,Ceramic,Kajaria Tile Gallery,box,1076,578.78,0,12,697499.35,CHEQUE,INV-2025-7762,Approved by site engineer
PMT1713,01-20-2024,Biltech AAC Blocks 200mm,Masonry,N/A,bharat bricks & blocks,piece,1511.82,"1,620.99",0%,18%,2891761.22,,INV-2023-7365,Return pending
PMT2308,2024-06-30,PVC Slab Cover Blocks 20mm,Masonry,N/A,Bharat Bricks & Blocks,piece,2248.08,2160.51,-,18%,5444696.24,cash,INV-2025-3871,Site B allocation
PMT1773,03-07-2023,natural granite slabs 18mm,Stone,N/A,Natural Stone Exporters,sqft,3182.08,Rs. 4835.49,12.5%,5%,14136729.09,RTGS,INV-2023-3953,Bulk order discount applied
PMT1357,01-15-2025,SOMANY GVT VITRIFIED FLOOR TILES 800X800MM,Tiles,,Somany World Showroom,box,4862.15,8798.89,,18%,44171922.51,Bank Transfer,INV-2025-4226,late delivery
PMT1438,2024-08-05,FINOLEX PVC CONDUIT PIPES 25MM,,Standard,Polycab Distributor,meter,2576.88,1559.22,5%,28%,4885794.17,,INV-2024-4449,Bulk order discount applied
PMT2381,2023-12-14,birla white wallcare putty 1.5mm,Finishing,N/A,JK Wall Solutions,bag,4427.77,-,12.5%,12,27293529.66,UPI,INV-2025-3404,
PMT1620,08-16-2023,Schneider MCB B-Curve 32A,,N/A,Havells Electric Store,piece,4396.18,1892.7,10,5%,NIL,UPI,INV-2024-8627,
PMT2277,17 Aug 2024,Asian Paints Royale Luxury Interior Emulsion,Paint,,Asian Paints Dealer,LITER,3815.07 liter,3316.32,10,5,N/A,,INV-2023-7387,
PMT1439,2023-08-30,JK Lakshmi Cement OPC 43 grd,Cement,OPC 43,Ambuja Direct Depot,bag,1666.98,6353.53,2,18%,INR 12247672.28,RTGS,INV-2024-4056,
PMT1347,07-11-2025,Nerolac Beauty Acrylic Interior Paint,Paint,,Berger Paints Store,liter,562,80.98,15,28%,?,UPI,INV-2023-7050,
PMT1393,12 Feb 2023,JSW Neosteel TMT Bars Fe 550D 20MM,Steel,,SRMB Steel Point,kg,4259.16,8396.15,12.5%,28%,40051811.78,,INV-2023-6954,Approved by site engineer
PMT1891,02-03-2025,  Siporex AAC Blocks 100mm  ,Masonry,N/A,Siporex Depot,piece,2740,Rs. 759.79,5%,12%,2215061.37,N.A.,INV-2025-8454,duplicate entry?
PMT2056,25/07/2023,TATA TISCON TMT BARS FE 500D 8MM,Steel,,Tata Steel Authorised Dealer,kg,4351.09,6610.84,0%,18,33941944.58,,INV-2025-6901,late delivery
PMT1715,2024-08-29,Supreme CPVC Pipes SDR 13.5 20mm,,Standard,Ashirvad Sales Corp,METER,1951,90.83,5%,28,215486.55,Cash,INV-2025-9387,
PMT2383,23 Dec 2023,ais toughened window glass 8mm,Glass,Standard,AIS Glass Traders,sqft,2751,"7,971.93",10,12,22106225.67,,INV-2023-2234,Approved by site engineer
PMT1643,02/11/2024,CENTURYDOORS SOLID CORE FLUSH DOORS 35MM,Wood,Standard,CenturyPly Distributor,piece,2474.6,2737.49,0,18%,7993547.45,cash,INV-2025-5186,Bulk order discount applied
PMT1250,27-11-2023,Coarse Aggregate 10mm Blue Metal,,,GreenBuild Materials,ton,2932.87,2413.48,10,5%,6689109.82,RTGS,INV-2025-4432,Return pending
PMT1804,15 Dec 2024,Tata Tiscon TMT Bars Fe 500D 16mm,Steel,,JSW Steel Distributor,kg,217.66,8075.27,0,18,2074042.66,RTGS,INV-2023-7074,Return pending
PMT1516,03 Jan 2025,JSW Neosteel TMT Bars Fe 550D 25mm,Steel,,Kumar Steel Traders,KG,2045,Rs. 8736.66,12.5%,28,20010446.06,,INV-2023-7037,Bulk order discount applied
PMT1011,2024-06-18,Tata Tiscon TMT Bars Fe 500D 10mm,Steel,Fe 500,Tata Steel Authorised Dealer,kg,3644.08,"2,431.04",15,12%,8433676.84,UPI,INV-2025-3041,duplicate entry?
PMT2174,07.16.2023,Tata Tiscon TMT Bars Fe 500D 8mm,Steel,Fe 500D,NA,kg,2119.76,6589.27,2%,12,15330915.66,RTGS,INV-2023-6202,
PMT1977,29 Aug 2025,PVC Slab Cover Blocks 20mm,Masonry,N/A,AAC Block Traders,piece,2634.74,9336.46,7.5%,18,26849966.35,,INV-2024-1182,Approved by site engineer
PMT2333,21 Jan 2023,CenturyPly Marine Plywood IS:710 19mm,Wood,N/A,Greenlam Doors Store,sheet,2857,Rs. 6156.9,0,5%,18469776.46,Cheque,INV-2025-3730,late delivery
PMT1017,11-02-2024,Ashirvad UPVC Drainage Pipes Schedule 40 110MM,Plumbing,N/A,Astral Plumbing Store,meter,4252.21,4078.17,10,18,18416391.84,N.A.,INV-2025-5425,
PMT2125,18-09-2025,Coarse Aggregate 10mm Blue Metal,Aggregate,Standard,Krishna Sand & Aggregates,ton,3480.81,4374.22,0%,5%,15987120.15,Cash,INV-2023-5808,Approved by site engineer
PMT2398,09 May 2025,ASIAN PAINTS APEX WEATHERCOAT EXTERIOR PAINT,,N/A,Berger Paints Store,liter,2326,3697.37,10,5,8127078.08,NEFT,INV-2025-1223,Site B allocation
PMT1734,13 Aug 2023,concrete column cover blocks 40mm,Masonry,Standard,AAC Block Traders,piece,304.77,Rs. 6922.48,5%,18%,2365045.7,UPI,INV-2023-9559,Return pending
PMT1361,22 Dec 2025,Precision Heavy-Duty PVC Conduit Pipes 20MM,Electrical,,Legrand Authorised Dealer,meter,1622,3104.09,10,18%,5346993.69,UPI,INV-2025-6798,
PMT1540,24-11-2025,Tata Tiscon TMT Bars Fe 500D 8MM,Steel,,Kumar Steel Traders,kg,3829.11,1481.13,15%,18,5688423.92,CHEQUE,INV-2023-1019,Damaged packaging noted
PMT1989,13 Feb 2023,AIS Toughened Window Glass 8MM,Glass,N/A,ais glass traders,sqft,903,6855.94,10%,28,7131932.72,N.A.,,Damaged packaging noted
PMT2242,23 Apr 2025,manufactured sand (m-sand) 4.75mm,Aggregate,N/A,Krishna Sand & Aggregates,ton,3748,1133.71,0,5%,4461602.33,RTGS,INV-2023-6080,Return pending
PMT1258,2023-10-24,Asian Paints Apex WeatherCoat Exterior Paint,Paint,,Nerolac Colour Shop,liter,4281,"6,459.54",12.5%,18,28552022.69,Cash,INV-2023-4946,late delivery
PMT1034,14/07/2023,Havells FR Electrical Wires 1.5 sq MM,Electrical,N/A,Polycab Distributor,meter,2373,Rs. 1249.15,0%,28,3794218.18,UPI,INV-2023-9313,
PMT1723,2025-03-14,Tata Tiscon TMT Bars Fe 500D 12mm,Steel,Fe 550D,Tata Steel Authorised Dealer,kg,1480,5151.83,2,28,INR 9564434.22,NEFT,INV-2023-6815,Urgent site delivery
PMT1046,02/03/2025,  Nerolac Beauty Acrylic Interior Paint  ,Paint,N/A,Berger Paints Store,liter,1337,Rs. 2801.37,12.5,28%,4194883.49,cash,INV-2024-1939,Approved by site engineer
PMT1752,08-30-2024,Siporex AAC Blocks 100mm,Masonry,N/A,Siporex Depot,piece,3151.76,"4,924.30",12.5%,5,14259194.56,,INV-2024-4578,Return pending
PMT2105,07/06/2025,somany gvt vitrified floor tiles 800x800mm,Tiles,GVT,Somany World Showroom,box,262.85,2301.31,5,12%,,UPI,INV-2025-8708,Approved by site engineer
PMT2206,04-28-2023,Asian Paints Apex WeatherCoat Exterior Paint,Paint,N/A,Asian Paints Dealer,liter,4193,?,7.5%,N/A,37603710.88,NEFT,INV-2025-7810,Return pending
PMT1938,06.06.2024,Tata Tiscon TMT Bars Fe 500D 16mm,Steel,Fe 550D,Tata Steel Authorised Dealer,kg,4908.3,8711.32,0%,5%,44895660.55,Bank Transfer,INV-2025-2341,
PMT1267,11 Nov 2023,Finolex PVC Conduit Pipes 25mm,Electrical,,Havells Electric Store,meter,2356.14,9399.17,10%,12%,22322926.49,UPI,INV-2023-3626,
PMT1978,05-06-2025,Somany GVT Vitrified Floor Tiles 800x800MM,Tiles,Ceramic,Orientbell Depot,box,699.83,6138.54,0%,28,null,Bank Transfer,INV-2023-9432,duplicate entry?
PMT1538,12/07/2025,Kajaria Double Charged Vitrified Tiles 600x600mm,Tiles,Ceramic,Kajaria Tile Gallery,box,3856.47,"7,641.95",12.5%,5%,27076436.15,Cheque,INV-2023-8289,Bulk order discount applied
PMT1143,01-02-2024,birla white wallcare putty 1.5mm,Finishing,Standard,Birla Putty Depot,bag,3374.09,4802.01,7.5,18,17684934.79,UPI,INV-2025-4943,Approved by site engineer
PMT1863,08/10/2024,Astral CPVC Pipes SDR 11 25mm,,Standard,Astral Plumbing Store,meter,3412,127.39,10,28%,500722.19,Cheque,INV-2023-4407,duplicate entry?
PMT1634,03-02-2024,CenturyDoors Solid Core Flush Doors 35mm,Wood,Standard,CenturyPly Distributor,-,1235.22,7096.7,5,5%,8744070.81,,INV-2025-3193,Bulk order discount applied
PMT2262,22 Oct 2024,Somany GVT Vitrified Floor Tiles 800x800mm,Tiles,Ceramic,Kajaria Tile Gallery,box,1830.67,Rs. 5790.05,5,18,11882231.0,UPI,INV-2025-4471,Urgent site delivery
PMT2066,28-03-2025,tata tiscon tmt bars fe 500d 12mm,Steel,Fe 550D,JSW Steel Distributor,kg,1535,NIL,7.5,12%,1968678.27,Cheque,INV-2023-6788,duplicate entry?
PMT1531,04 May 2023,  Tata Tiscon TMT Bars Fe 500D 16mm  ,Steel,,srmb steel point,kg,972.81,4789.56,2%,18%,N/A,CHEQUE,INV-2024-1821,late delivery
PMT1966,29/11/2025,  Shree Cement PPC Grade  ,Cement,OPC,Regional Cement Traders,bag,4444.34,NIL,7.5%,18%,1174960.01,UPI,INV-2023-4386,Bulk order discount applied
PMT1216,25/02/2024,NATURAL GRANITE SLABS 18MM,Stone,Standard,Marble Palace Traders,sqft,4353,"9,212.00",12.5%,5%,36841724.33,NEFT,INV-2023-9677,Bulk order discount applied
PMT2394,16 Oct 2025,Saint-Gobain Clear Float Glass 6mm,Glass,N/A,AIS Glass Traders,sqft,4569.78,2492.11,0%,12%,12755001.77,CHEQUE,INV-2025-4275,
PMT1930,2023-02-02,Nerolac Beauty Acrylic Interior Paint,Paint,N/A,Asian Paints Dealer,liter,3416.07,Rs. 6696.96,15%,5%,20417976.1,Cash,INV-2025-1170,Approved by site engineer
PMT1302,30/12/2023,Supreme SWR PVC Pipes Type A 75MM,Plumbing,,Astral Plumbing Store,meter,2917.88,9409.07,0,18%,32396353.86,CHEQUE,INV-2024-6968,Return pending
PMT1655,27 Dec 2025,CENTURYPLY MARINE PLYWOOD IS:710 19MM,Wood,N/A,Greenply Depot,sheet,4369.15,3356.36,15%,28%,15954911.04,Cash,INV-2024-7606,late delivery
PMT1549,07 Sep 2023,Natural Italian Marble Slabs 20mm,Stone,Standard,Natural Stone Exporters,sqft,1844.96,3455.67,10,28%,7344660.01,Cash,INV-2023-9146,
PMT2255,12 Jan 2025,AIS Toughened Window Glass 8mm,Glass,,AIS Glass Traders,SQFT,3823.75,"6,906.26",10,18,28045096.0,cash,INV-2024-4609,Damaged packaging noted
PMT1926,26/01/2023,Polycab FR Electrical Wires 4.0 sq mm,Electrical,,Legrand Authorised Dealer,meter,3133.37,Rs. 3672.82,5%,18%,12900808.79,,INV-2025-9837,late delivery
PMT1564,01-08-2025,dalmia cement ppc grade,Cement,OPC 43,Regional Cement Traders,bag,367.03,1821.83,0,28%,855892.82,RTGS,INV-2023-8385,duplicate entry?
PMT1569,10.10.2024,dalmia cement ppc grade,Cement,,Regional Cement Traders,bag,1412,5964.0,0%,5%,8842226.4,UPI,INV-2025-7814,
PMT1517,04-21-2024,Tata Tiscon TMT Bars Fe 500D 10mm,Steel,,kumar steel traders,kg,2149.04,"1,881.74",0,18,4771842.74,,INV-2025-2390,Damaged packaging noted
PMT1811,28-09-2025,  Nitco Glazed Ceramic Wall Tiles 300x450mm  ,Tiles,Vitrified,Orientbell Depot,N/A,4835,1812.99,12.5,12%,8590490.52,,INV-2024-8235,Return pending
PMT1710,04-04-2023,GREENLAM INTERIOR FLUSH DOORS 30MM IS:2202,Wood,,CenturyPly Distributor,piece,4325.55,Rs. 998.87,20,5%,3629356.19,Cash,INV-2023-9677,Approved by site engineer
PMT1973,23-01-2025,Dalmia Cement PPC Grade,Cement,OPC,UltraTech Dealer Hub,bag,4096,3365.03,10,28,15878203.64,,INV-2024-7793,duplicate entry?
PMT2180,,CenturyDoors Solid Core Flush Doors 35mm,Wood,N/A,-,PIECE,3387.5,Rs. 1593.12,20%,18%,5094479.14,Bank Transfer,INV-2024-2548,Bulk order discount applied
PMT1217,07-28-2025,Prince SWR PVC Pipes Type B 110mm,Plumbing,N/A,Astral Plumbing Store,meter,3589.54,"4,132.18",0,18%,17502497.97,UPI,INV-2024-1129,late delivery
PMT1297,08/09/2024,AIS Toughened Window Glass 8mm,,Standard,Saint-Gobain Glass Depot,sqft,3063.54,,0%,28%,4574624.98,N.A.,INV-2023-1860,Urgent site delivery
PMT1006,04 Jun 2023,Coarse Aggregate 10mm Blue Metal,Aggregate,,Local Quarry Suppliers,ton,4180.96,"2,042.39",10%,28%,9837101.83,,INV-2025-8973,Damaged packaging noted
PMT1787,2025-10-25,JK WallMaxX Wall Putty,Finishing,N/A,JK Wall Solutions,bag,3652.18,4862.99,20%,28,18186767.17,Cheque,INV-2024-7621,late delivery
PMT1429,2024-09-30,jsw neosteel tmt bars fe 550d 25mm,Steel,Fe 550D,Tata Steel Authorised Dealer,kg,3916.59,"4,029.66",20,5%,13257321.89,N.A.,INV-2024-3931,Damaged packaging noted
PMT1641,-,somany gvt vitrified floor tiles 800x800mm,Tiles,GVT,Kajaria Tile Gallery,box,1605,"4,510.91",15,5,6461709.42,Bank Transfer,INV-2024-7973,
PMT1612,07-13-2023,shree cement ppc grade,Cement,OPC,Regional Cement Traders,bag,2096,2735.91,0%,5%,NA,N.A.,INV-2023-8508,Bulk order discount applied
PMT2094,2023-07-02,  Polycab FR Electrical Wires 4.0 sq mm  ,Electrical,,Polycab Distributor,meter,692.64,1044.32,?,12,648110.67,NEFT,INV-2025-5194,
PMT1880,18/05/2023,HAVELLS FR ELECTRICAL WIRES 1.5 SQ MM,,,Havells Electric Store,meter,1267.99,3641.99,2,5,4751929.1,,,Damaged packaging noted
PMT2337,06/03/2024,polycab fr electrical wires 4.0 sq mm,,N/A,Legrand Authorised Dealer,meter,1722.5,6675.39,0%,5%,12073277.24,Cheque,INV-2024-5676,
PMT2033,07-07-2023,supreme swr pvc pipes type a 75mm,Plumbing,N/A,Ashirvad Sales Corp,meter,1588.57,8015.7,20,18,INR 12020424.52,CHEQUE,INV-2023-5796,late delivery
PMT1273,2025-12-28,jsw neosteel tmt bars fe 550d 20mm,Steel,Fe 500D,Kumar Steel Traders,N/A,3954.15,6016.0,15%,18%,23859530.9,NEFT,INV-2025-5582,duplicate entry?
PMT2234,2025-04-27,Natural Granite Slabs 18mm,Stone,N/A,Natural Stone Exporters,sqft,null,8110.63,NIL,12%,39945566.49,Cash,INV-2024-9944,
PMT1254,08-24-2024,Tata Tiscon TMT Bars Fe 500D 8mm,Steel,Fe 500D,Tata Steel Authorised Dealer,kg,1510.23,1112.21,0%,5%,1763677.55,NEFT,INV-2025-5220,
PMT1136,26/09/2024,Natural Granite Slabs 18mm,Stone,N/A,Natural Stone Exporters,sqft,1302.74 sqft,Rs. 4465.34,12.5%,18,6006235.29,N.A.,INV-2024-7467,
PMT2313,19-10-2023,JSW Neosteel TMT Bars Fe 550D 20mm,Steel,,Kumar Steel Traders,kg,3625.51,7571.3,2,NIL,31742976.32,N.A.,INV-2025-6791,
PMT1377,08-09-2023,Birla White WallCare Putty 1.5MM,Finishing,Standard,Birla Putty Depot,bag,3821.33,7074.78,null,-,27683910.71,UPI,INV-2023-5788,
PMT1284,27/08/2025,havells fr electrical wires 1.5 sq mm,Electrical,Standard,Havells Electric Store,meter,2443.85,4196.25,0,18,NIL,NEFT,INV-2025-1130,Return pending
PMT1786,2024-12-01,Supreme SWR PVC Pipes Type A 75MM,Plumbing,Standard,Astral Plumbing Store,null,164.3,289.15,2,18,54937.49,N.A.,INV-2025-7538,Urgent site delivery
PMT1853,11/09/2025,CenturyPly Marine Plywood IS:710 19mm,Wood,Standard,CenturyPly Distributor,SHEET,4671.49,-,0%,18%,36864171.08,,INV-2024-8335,Damaged packaging noted
PMT1246,12-06-2023,Supreme SWR PVC Pipes Type A 75mm,Plumbing,N/A,Astral Plumbing Store,meter,194.34,2653.03,10,5%,487232.41,Cash,INV-2025-5068,Damaged packaging noted
PMT1884,02 Jun 2023,UltraTech Cement OPC 53 Grade,Cement,OPC,Regional Cement Traders,bag,2915,5294.77,5%,5%,15395668.91,RTGS,INV-2025-1323,Urgent site delivery
PMT2241,06 Aug 2023,SHREE CEMENT PPC GRADE,Cement,PPC,Regional Cement Traders,bag,4677,3810.31,NIL,18%,21028567.45,,INV-2025-8499,
PMT1307,26 Nov 2025,  UltraTech Cement OPC 53 Grade  ,Cement,,Regional Cement Traders,bag,1670,7038.39,2,28%,14744357.21,,INV-2024-1105,Damaged packaging noted
PMT2331,12/07/2025,SOMANY GVT VITRIFIED FLOOR TILES 800X800MM,Tiles,,somany world showroom,box,3286,1594.96,0,18,6184425.5,CHEQUE,INV-2024-5125,
PMT1140,2023-08-08,Tata Tiscon TMT Bars Fe 500D 16mm,Steel,Fe 500,Kumar Steel Traders,kg,968.86,4164.69,0,28%,5164801.99,Bank Transfer,INV-2025-3539,duplicate entry?
